,V1,V2,note,defenition
Cephalopholis.miniata,0.01813,2.98905,mean,T
Ctenochaetus.striatus,0.037621667,2.995911667,mean,T
Pseudanthias.taeniatus,0.01886,3,mean,T
Pseudanthias.heemstrai,0.00933,2.97,bayesian,T
Pseudanthias.squamipinnis,0.0569,2.65,mean,T
Sufflamen.albicaudatus,0.0257,2.94,bayesian,T
Chaetodon.austriacus,0.02291,3.01,bayesian,T
Genicanthus.caudovittatus,0.02142,3,mean,T
Gomphosus.caeruleus,0.01452,3,mean,T
Larabicus.quadrilineatus,0.00977,3.05,bayesian,T
Pygoplites.diacanthus,0.01638,3,mean,T
Acanthurus.nigrofuscus,0.038228333,2.994228333,mean,T
Scarus.niger,0.0183375,3.18199,mean,T
Epinephelus.fasciatus,0.0161575,2.981665,mean,T
Heniochus.intermedius,0.005405,3,mean,T
Pseudocheilinus.evanidus,0.00488,3.51,mean,T
Paracheilinus.octotaenia,0.00977,3.05,bayesian,T
Oxycheilinus.digramma,0.0245075,2.96175,mean,T
Anampses.twistii,0.02146,3,mean,T
Balistapus.undulatus,0.036733333,3.167,mean,T
Pomacentrus.trichrourus,0.04203,3,could be wrong,C
Bryaninops.natans,0.00617,3.08,bayesian,C
Eviota.guttata,0.00617,3.08,bayesian,C
Chromis.dimidiata,0.01778,2.99,bayesian,C
Dascyllus.marginatus,0.0177,3,mean,C
Amblyglyphidodon.flavilatus,0.02239,2.99,bayesian,C
Meiacanthus.nigrolineatus,0.020875,3,mean,C
Cheilodipterus.novemstriatus,0.01096,3.11,bayesian,C
Cheilodipterus.quinquelineatus,0.014123333,3.037743333,mean,C
Pseudochromis.springeri,0.01175,3.01,bayesian,C
Eviota.prasites,0.00617,3.08,bayesian,C
Amblygobius.hectori,0.00617,3.08,bayesian,C
Cheilodipterus.lachneri,0.01,3.285923333,mean,C
Plagiotremus.tapeinosoma,0.004973333,2.96944,mean,C
Apogon.cyanosoma,0.01318,3.14 ,bayesian,C
Trimma.avidori,0.00891,3.07,bayesian,C
Chromis.pelloura,0.01778,2.99 ,bayesian,C
Cephalopholis.hemistiktos,0.0232,3,mean,T
Lethrinus.borbonicus,0.133,2.36,mean,T
Scarus.gibbus,0.01413,3.04,bayesian,T
Scarus.collana,0.01445,3.04,bayesian,T
Zebrasoma.xanthurum,0.02344,2.97,bayesian,T
Fistularia.commersonii,0.004223333,2.846666667,mean,T
Siganus.argenteus,0.01574,3.084638,mean,T
Hipposcarus.harid,0.02027,3,mean,T
Amanses.scopas,0.02188,2.91,bayesian,T
Chromis.virdis,0.038,2.73,geometric,C
Gobiodon.citrinus,0.0577,2.43917,mean,C
Amblyglyphidodon.leucogaster,0.01876,2.978683333,mean,C
Ostorhinchus.nigrofasciatus,0.010335,3.41697,mean,C
Eviota.sebreei,0.00617,3.08,bayesian,C
Synodus.variegatus,0.004838,3.32916,bayesian,C
Pseudochromis.flavivertex,0.01175,3.01,bayesian,C
Goby.spp.,0.00617,3.08,bayesian,C
Coris.caudimacula,0.01,3.06,bayesian,T
Parupeneus.forsskali,0.01202,3.09,bayesian,T
Bodianus.anthioides,0.01202,3.06,bayesian,T
Cheilinus.trilobatus,0.02291,3.023823333,mean,T
Chaetodon.paucifasciatus,0.02291,3.01,bayesian,T
Amblyeleotris.steinitzi.,0.00617,3.08,bayesian,C
Amphiprion.bicinctus,0.02973,3,mean,C
Corythoichthys.schultzi,0.000605,3,mean,C
Ecsenius.frontalis,0.00741,3,bayesian,C
Apolemichthys.xanthotis,0.01751,3,mean,T
Centropyge.multispinis,0.03020 ,2.89 ,bayesian,T
