species,cryptic,transient,reef_associated,demersal,pelagic,schooling
Parupeneus macronema,0,1,1,1,0,0
Paracheilinus octotaenia,0,1,1,1,0,1
Pseudocheilinus evanidus,0,1,1,1,0,0
Lethrinus nebulosus,0,1,1,1,0,0
Sufflamen albicaudatus,0,1,1,1,0,0
Caesio suevicus,0,1,1,0,0,1
Oxycheilinus digramma,0,1,1,1,0,0
Ostracion cubicus,0,1,1,1,0,0
Ostracion cyanurus,0,1,1,1,0,0
Caesio lunaris,0,1,1,0,0,1
Eviota prasites,1,0,1,1,0,0
Meiacanthus nigrolineatus,1,0,1,1,0,0
Trimma barralli,1,0,1,1,0,0
Pseudochromis olivaceus,1,0,1,1,0,0
Amblygobius albimaculatus,1,0,0,1,0,0
Gnatholepis anjerensis,1,0,1,1,0,0
Synodus variegatus,1,0,1,1,0,0
Pleurosicya micheli,1,0,1,1,0,0
Cheilodipterus novemstriatus,1,0,1,1,0,0
Cryptocentrus lutheri,1,0,0,1,0,0
Tomiyamichthys latruncularius,1,0,0,1,0,0
Cheilodipterus quinquelineatus,1,0,1,1,0,0
Apogon cyanosoma,1,0,1,1,0,0
Amblyeleotris sungami,1,0,0,1,0,0
Eviota sebreei,1,0,1,1,0,0
Cheilinus mentalis,0,1,1,1,0,0
Acanthurus nigrofuscus,0,1,1,1,0,0
Abudefduf vaigiensis,0,1,1,1,0,0
Parupeneus forsskali,0,1,1,1,0,0
Lethrinus borbonicus,0,1,1,1,0,0
Dascyllus trimaculatus,,,1,1,0,0
Thalassoma rueppellii,0,1,1,1,0,0
Zebrasoma xanthurum,0,1,1,1,0,0
Siganus rivulatus,0,1,1,1,0,0
Scarus ferrugineus,0,1,1,1,0,0
Pseudanthias squamipinnis,0,1,1,1,0,1
Neopomacentrus miryae,0,1,1,1,0,1
Scarus niger,0,1,1,1,0,0
Cephalopholis miniata,0,1,1,1,0,0
Parapercis hexophtalma,1,0,1,1,0,0
Scarus fuscopurpureus,0,1,1,1,0,0
Scarus frenatus,0,1,1,1,0,0
Canthigaster coronata,0,1,1,1,0,0
Fusigobius longispinus,1,0,1,1,0,0
Pomacentrus trichrourus,1,0,1,1,0,0
Labroides dimidiatus,0,1,1,1,0,0
Grammistes sexlineatus,0,1,1,1,0,0
Cephalopholis hemistiktos,0,1,1,1,0,0
Coris caudimacula,0,1,1,1,0,0
Chaetodon trifascialis,0,1,1,1,0,0
Ecsenius aroni,1,0,1,1,0,0
Eviota guttata,1,0,1,1,0,0
Dascyllus marginatus,1,0,1,1,0,0
Pseudochromis fridmani,1,0,1,1,0,0
