"","Site_name","Date","year","month","Sub_site","Transect","Trans_type","trans_ID","Trans_surveyor_id","observer","observer_num_adults","lat","lon","Depth","Time_start","Time_end","Species","Amount","Length","Confidence","Object","C","R","G","S","SG","A","B","A1_size","A2_size","A3_size","K1_size","K2_size","K3_size","Habitat","Description","Notes","Photos","Logger","a","b","convertion_method"
"1","Neptune Beach",2022-08-18,"2022","august","1","A","T","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"13:59","14:07","Iniistius pavo","1","17","0","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.01047,3.06,"bayesian"
"2","Neptune Beach",2022-08-18,"2022","august","1","A","T","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"13:59","14:07","Pteragogus trispilus","1","1.5","1","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.02,2.97,"bayesian"
"3","Neptune Beach",2022-08-18,"2022","august","1","A","T","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"13:59","14:07","Scolopsis ghanam","1","1.5","0","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.0182,2.98,"mean"
"4","Neptune Beach",2022-08-18,"2022","august","1","A","C","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"14:07","14:09","Gnatholepis anjerensis","1","1","1","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.00871,3.06,"bayesian"
"5","Neptune Beach",2022-08-18,"2022","august","1","A","C","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"14:07","14:09","Gnatholepis anjerensis","1","1.5","0","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.00871,3.06,"bayesian"
"6","Neptune Beach",2022-08-18,"2022","august","1","A","C","Neptune Beach 1 A 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546658","34.965218",4.8,"14:07","14:09","Asterropteryx semipunctata","1","1","1","N",0,0,0,0,100,0,0,"0",0,0,0,0,0,NA,"flat seagrass",NA,"no","yes",0.0120366666666667,3.17333333333333,"mean"
"7","Neptune Beach",2022-08-18,"2022","august","1","B","T","Neptune Beach 1 B 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 B 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546562","34.965546",4.2,"14:17","14:21","Atherinomorus lacunosus","500","1","1","N",0,0,0,52,48,0,0,"0",0,0,0,0,0,NA,"seagrass and some sand",NA,"no","yes",0.00741,3.16,NA
"8","Neptune Beach",2022-08-18,"2022","august","1","B","C","Neptune Beach 1 B 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 B 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546562","34.965546",4.2,"14:21","14:25","Amblygobius albimaculatus","2","1.5","0","N",0,0,0,52,48,0,0,"0",0,0,0,0,0,NA,"seagrass and some sand",NA,"no","yes",0.0146223333333333,2.88026666666667,NA
"9","Neptune Beach",2022-08-18,"2022","august","1","B","C","Neptune Beach 1 B 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 B 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546562","34.965546",4.2,"14:21","14:25","Cheilodipterus novemstriatus","3","1","0","N",0,0,0,52,48,0,0,"0",0,0,0,0,0,NA,"seagrass and some sand",NA,"no","yes",0.01096,3.11,"bayesian"
"10","Neptune Beach",2022-08-18,"2022","august","1","B","C","Neptune Beach 1 B 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 B 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546562","34.965546",4.2,"14:21","14:25","Asterropteryx semipunctata","1","1.5","0","N",0,0,0,52,48,0,0,"0",0,0,0,0,0,NA,"seagrass and some sand",NA,"no","yes",0.0120366666666667,3.17333333333333,"mean"
"11","Neptune Beach",2022-08-18,"2022","august","1","C","T","Neptune Beach 1 C 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 C 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546864","34.965686",3.2,"14:35","14:39","Atherinomorus lacunosus","2000","2","1","N",0,0,0,76,24,0,0,"0",0,0,0,0,0,NA,"sand with some seagrass",NA,"no","yes",0.00741,3.16,NA
"12","Neptune Beach",2022-08-18,"2022","august","1","C","C","Neptune Beach 1 C 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 C 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546864","34.965686",3.2,"14:39","14:44","Gnatholepis anjerensis","1","1.5","1","N",0,0,0,76,24,0,0,"0",0,0,0,0,0,NA,"sand with some seagrass",NA,"no","yes",0.00871,3.06,"bayesian"
"13","Neptune Beach",2022-08-18,"2022","august","1","C","C","Neptune Beach 1 C 2022-08-18 Tal Gavriel Blank NA NA","Neptune Beach 1 C 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.546864","34.965686",3.2,"14:39","14:44","Gnatholepis anjerensis","1","1.5","0","N",0,0,0,76,24,0,0,"0",0,0,0,0,0,NA,"sand with some seagrass",NA,"no","yes",0.00871,3.06,"bayesian"
"14","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Pteragogus trispilus","2","2","1","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.02,2.97,"bayesian"
"15","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Pteragogus trispilus","1","1.5","1","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.02,2.97,"bayesian"
"16","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Paracheilinus octotaenia","2","1.5","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.00977,3.05,"bayesian"
"17","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Paracheilinus octotaenia","3","1.5","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.00977,3.05,"bayesian"
"18","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Scolopsis ghanam","6","1.5","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.0182,2.98,"mean"
"19","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Scolopsis ghanam","3","2","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.0182,2.98,"mean"
"20","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Scolopsis ghanam","1","3","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.0182,2.98,"mean"
"21","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Dascyllus trimaculatus","4","10","0","A1",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.0716,2.635,"mean"
"22","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Dascyllus trimaculatus","2","5","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.0716,2.635,"mean"
"23","North beach",2022-08-18,"2022","august","1","A","T","North beach 1 A 2022-08-18 Tal Gavriel Avery Deveto Mai Lazarus Blank","North beach 1 A 2022-08-18 Tal Gavriel","Tal Gavriel","one_observer","29.545154","34.963633",19.1,"7:50","7:59","Epinephelus fasciatus","1","18","0","N",0,0,0,8,92,0,0,"0.05",0,0,0,0,0,NA,"seageass with tire in the end",NA,"no","yes",0.01945,2.9315,"mean"
