Species_updated_name_fishbase,Species_checklist_name,Species_used_name,Author,Class,Order,Family,Red_Sea,Mediterranean,Red_sea_endemic,Med_israeli_coast,Gulf_of_aqaba ,Lessepsian,First_israel_med_record,Pop_status_in_isreal,Lessepsian_med_distribution,Anti_Lessepsian,Distinct_Med_Red_distribution,Med_Red_distribution_explanation,Distinct_sp_Med_first_record_year,Comments,Home_range,Activity,Schooling,Water_level,Diet,Venomous,Poisonous
Abalistes stellatus,Abalistes stellatus,Abalistes stellatus,Anonymous [Lacepčde] 1798,Actinopteri,Tetraodontiformes,Balistidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,Sol,Bottom,IM,0,0
Ablennes hians,Ablennes hians,NA,"(Valenciennes, 1846)",Actinopteri,Beloniformes,Belonidae,1,1,0,1,1,0,NA,NA,NA,0,1,introducued/invaded,2019,NA,VMob,Both,MedG,High,FC,0,0
Abudefduf hoefleri,Abudefduf hoefleri,NA,"(Steindachner, 1881)",Actinopteri,Perciformes,Pomacentridae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,OM,0,0
Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf saxatilis,"(Linnaeus, 1758)",Actinopteri,Perciformes,Pomacentridae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Low,OM,0,0
Abudefduf sexfasciatus,Abudefduf sexfasciatus,Abudefduf sexfasciatus,"(Lacepčde, 1801)",Actinopteri,Perciformes,Pomacentridae,1,1,0,0,1,0,NA,NA,NA,0,1,introducued/invaded,2017,NA,Sed,Day,MedG,Low,PK,0,0
Abudefduf sordidus,Abudefduf sordidus,Abudefduf sordidus,Forsskål in Niebuhr 1775,Actinopteri,Ovalentaria/misc,Pomacentridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Sed,Day,MedG,Low,OM,0,0
Abudefduf vaigiensis,Abudefduf vaigiensis,Abudefduf vaigiensis,"(Quoy & Gaimard, 1825)",Actinopteri,Perciformes,Pomacentridae,1,1,0,1,1,1,1997,Local,"Lebanon, Malta",0,0,NA,NA,NA,Sed,Day,MedG,Low,PK,0,0
Acanthocybium solandri,Acanthocybium solandri,NA,"(Cuvier, 1832)",Actinopteri,Scombriformes,Scombridae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Acantholabrus palloni,Acantholabrus palloni,NA,"(Risso, 1810)",Actinopteri,Perciformes,Labridae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,Sol,Low,IM,0,0
Acanthopagrus berda,Acanthopagrus berda,Acanthopagrus berda,Forsskål in Niebuhr 1775,Actinopteri,Eupercaria/misc,Sparidae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,VMob,Both,MedG,Bottom,IM,0,0
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,(Forsskål 1775),Actinopteri,Perciformes,Sparidae,1,1,0,0,1,0,NA,NA,NA,0,1,introducued/invaded,2010,NA,VMob,Both,MedG,Bottom,IM,0,0
Acanthoplesiops cappuccino,Acanthoplesiops cappuccino,NA,"Gill, Bogorodsky & Mal 2013",Actinopteri,Ovalentaria/misc,Plesiopidae,1,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Acanthurus chirurgus,Acanthurus chirurgus,NA,"(Bloch, 1787)",Actinopteri,Acanthuriformes,Acanthuridae,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,MedG,Low,HD,0,0
Acanthurus coeruleus,Acanthurus coeruleus,NA,Bloch & Schneider 1801,Actinopteri,Acanthuriformes,Acanthuridae,0,1,0,1,0,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,MedG,Low,HD,0,0
Acanthurus gahhm,Acanthurus gahhm,Acanthurus gahhm,Forsskål 1775,Actinopteri,Acanthuriformes,Acanthuridae,1,0,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,Mob,Day,SmallG,Bottom,HD,0,0
