,SiteNo,Trip.date,year,month,Site,Transect,Letter,Trans_No,trans_ID,ID,observer,observer_num,lat,lon,Depth.m.,Species,Confidence,Number_Ind,Length,C,R,G,S,SG,SW,A,B,A1_size,K1_size,K2_size,Description,Comment,depth_category,a,b,method,c_t,weight
1,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Saurida gracilis,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.011945,3.0809825,mean,C,50.19988724
2,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Saurida gracilis,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.011945,3.0809825,mean,C,7.237533717
3,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,2.8674
4,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,30.5856
5,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,2.832
6,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Dascyllus marginatus,0,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.0177,3,mean,C,22.656
7,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,5.25375
8,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,3.40443
9,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.68992
10,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,21.51936
11,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Pomacentrus trichrourus,0,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.04203,3,could be wrong,C,2.01744
12,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Cheilodipterus novemstriatus,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01096,3.11,bayesian,C,0.333931706
13,Princess,22/07/2018,2018,july,NA,1,C,1C,Princess S 1 Shahar Malamud Yoni Belmaker july 2018,Princess S 1 Shahar Malamud 2018 july,Shahar Malamud,two_observers,29.494364,34.90742,20,Cheilodipterus novemstriatus,1,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deep,0.01096,3.11,bayesian,C,1.892534636
