"","Species","order","family","genus","home_range","activity","schooling","diet","water_level","Size.FishBase","Size_type","Size.Class"
"1","Iniistius pavo","Perciformes","Labridae","Iniistius","Mob","Day","Sol","IM","Bottom",41,"TL","S4"
"2","Pteragogus trispilus","Perciformes","Labridae","Pteragogus","Mob",NA,"Pair","IM","Low",NA,NA,NA
"3","Scolopsis ghanam","Eupercaria/misc","Nemipteridae","Scolopsis","Mob","Day","SmallG","IM","Bottom",30,"TL","S3"
"4","Gnatholepis anjerensis","Gobiiformes","Gobiidae","Gnatholepis","Sed","Day","Sol","OM","Bottom",8,"SL","S2"
"5","Asterropteryx semipunctata","Gobiiformes","Gobiidae","Asterropteryx","Sed","Day","SmallG","OM","Bottom",4,"SL","S1"
"6","Atherinomorus lacunosus","Atheriniformes","Atherinidae","Atherinomorus","VMob","Day","LargeG","PK","High",25,"TL","S3"
"7","Amblygobius albimaculatus","Gobiiformes","Gobiidae","Amblygobius","Sed","Day","Pair","OM","Bottom",18,"SL","S3"
"8","Cheilodipterus novemstriatus","Perciformes","Apogonidae","Cheilodipterus","Sed","Night","SmallG","FC","Low",8,"TL","S2"
"9","Oxycheilinus mentalis","Eupercaria/misc","Labridae","Oxycheilinus","Mob","Day","Sol","IM","Bottom",20,"TL","S3"
"10","Pteragogus cryptus","Eupercaria/misc","Labridae","Pteragogus","Sed","Day","Sol","IM","Bottom",10,"TL","S2"
"11","Paracheilinus octotaenia","Eupercaria/misc","Labridae","Paracheilinus","Sed","Day","MedG","PK","Low",9,"TL","S2"
"12","Ostorhinchus cyanosoma","Kurtiformes","Apogonidae","Ostorhinchus","Sed","Night","MedG","PK","Low",8,"TL","S2"
"13","Lethrinus nebulosus","Eupercaria/misc","Lethrinidae","Lethrinus","VMob","Night","MedG","IM","Bottom",87,"TL","S6"
"14","Scarus collana","Eupercaria/misc","Scaridae","Scarus","Mob","Day","SmallG","HD","Bottom",33,"TL","S4"
"15","Cheilodipterus quinquelineatus","Kurtiformes","Apogonidae","Cheilodipterus","Sed","Night","SmallG","FC","Low",13,"TL","S2"
"16","Canthigaster cyanospilota","Tetraodontiformes","Tetraodontidae","Canthigaster","Sed","Day","Sol","OM","Bottom",10,"SL","S2"
"17","Dascyllus trimaculatus","Ovalentaria/misc","Pomacentridae","Dascyllus","Sed","Day","SmallG","PK","Bottom",11,"SL","S2"
